intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
1659850;2018;2;0;30;0;50;2;2;12000;1;6;3;8;0.296;0.322;602.3278708774736;2;12;1967
1667839;2017;12;0;20;1;35;3;2;12000;1;9;3;7;0.296;0.219;409.65777553467916;2;12;1982
1668032;2018;2;0;20;1;52;2;1;NA;NA;9;4;7;0.296;0.209;390.9519410353788;2;5;1965
1668993;2018;2;0;45;0;37;4;3;12300;1;9;3;4;0.728;0.785;1468.408008195083;1;3;1980
1669406;2018;2;0;40;1;56;2;1;NA;NA;9;4;9;0.534;0.389;727.6569620227864;1;4;1961
1671087;2017;12;0;40;0;55;2;1;NA;NA;13;6;8;0.296;0.421;787.5156324205476;2;3;1962
1671882;2018;1;0;10;0;67;4;2;12000;1;15;6;8;0.243;0.224;419.0106927843294;2;12;1950
1674667;2017;12;0;40;0;64;3;1;NA;NA;1;1;9;0.267;0.337;630.3866226264242;2;8;1953
1677517;2017;12;0;45;0;57;2;1;NA;NA;3;3;7;0.534;0.684;1279.4790797521487;2;1;1960
1678126;2018;1;0;30;1;57;9;NA;NA;NA;3;7;10;0.728;0.568;1062.4913995602637;1;7;1960
1678946;2017;12;0;16;0;21;2;NA;NA;NA;3;4;4;0.728;0.772;1444.0904233459923;1;1;1996
1690653;2018;1;0;40;0;26;2;1;NA;NA;6;7;10;0.364;0.973;1820.0776967819309;2;6;1991
1691909;2018;1;0;30;0;58;2;1;NA;NA;6;3;3;0.296;0.426;796.8685496701979;2;10;1959
1692515;2017;12;0;30;0;56;2;1;NA;NA;6;2;2;0.445;0.206;385.3401906855886;2;10;1961
1695991;2018;1;0;40;0;54;2;2;99999;9;8;7;10;0.728;0.387;723.9157951229263;2;11;1963
1704167;2018;2;0;34;1;46;2;NA;NA;NA;9;2;7;1.145;2.55;4769.987797321606;1;7;1971
1704913;2018;2;0;45;0;60;1;1;NA;NA;9;2;7;0.925;3.065;5733.338274035578;1;10;1957
1707345;2018;1;0;35;0;54;5;1;NA;NA;9;1;1;0.534;0.504;942.7740587647412;2;9;1963
1709934;2017;12;0;40;0;52;4;1;NA;NA;15;4;5;0.445;0.448;838.0213855686588;2;3;1965
1712133;2017;12;0;25;0;52;2;1;NA;NA;9;3;7;0.728;0.63;1178.4675734559264;2;4;1965
1712244;2018;1;0;31;0;63;2;1;NA;NA;6;2;9;0.296;0.783;1464.6668412952229;2;3;1954
1712286;2017;12;0;40;0;51;2;1;NA;NA;6;3;7;0.534;0.574;1073.7149002598442;2;1;1966
1712451;2018;1;0;30;0;62;2;1;NA;NA;8;3;9;0.296;0.374;699.5982102738358;2;12;1955
1712551;2017;12;0;46;0;41;2;2;12000;1;9;4;10;0.296;0.21;392.8225244853088;1;3;1976
1712729;2018;1;0;15;0;46;2;2;12000;1;9;5;8;0.534;0.271;506.9281149310414;2;9;1971
1713151;2018;3;0;46;0;46;2;1;NA;NA;16;3;3;0.296;0.462;864.2095538676793;2;11;1971
1713215;2018;1;0;42;0;46;3;1;NA;NA;6;7;10;0.534;0.483;903.4918063162103;1;4;1971
1713529;2018;3;0;40;0;64;3;2;12000;1;16;5;6;0.296;0.332;621.0337053767739;2;10;1953
1714648;2017;12;0;50;0;56;4;1;NA;NA;1;2;2;0.534;0.591;1105.514818908655;1;9;1961
1714916;2018;1;0;45;0;54;2;3;12300;1;15;3;5;0.267;0.289;540.5986170297821;2;5;1963
1714964;2017;12;0;40;0;51;2;1;NA;NA;14;3;4;0.534;0.278;520.0221990805517;1;6;1966
1715106;2018;1;0;50;0;26;4;2;99999;9;8;3;7;0.267;2.146;4014.27208354987;1;3;1991
1715939;2018;1;0;40;0;37;2;1;NA;NA;13;6;8;1.145;1.024;1915.4774527283632;2;6;1980
1716155;2017;12;0;38;0;52;1;1;NA;NA;3;5;8;0.421;0.596;1114.867736158305;1;9;1965
1716587;2017;12;0;40;0;57;2;2;12000;1;5;5;8;0.534;1.351;2527.158240855487;1;8;1960
1716822;2018;1;0;38;0;9999;1;1;NA;NA;5;6;10;0.728;1.478;2764.722338996602;1;99;1968
1717266;2018;3;0;45;0;56;1;1;NA;NA;14;4;9;0.534;1.073;2007.136041774935;2;5;1961
1717486;2018;1;0;44;0;50;2;1;NA;NA;8;3;7;1.145;4.042;7560.898304617229;1;5;1967
1717577;2018;1;0;40;0;65;4;2;13200;0;5;6;8;1;0.955;1786.40719468319;2;11;1952
1718013;2018;1;0;40;0;58;1;1;NA;NA;1;3;3;1.145;2.343;4382.777023186088;1;6;1959
1718084;2018;1;0;40;0;55;1;1;NA;NA;5;4;5;0.728;0.801;1498.3373433939637;1;1;1963
1718199;2017;12;0;17;0;69;2;1;NA;NA;5;7;10;0.296;0.211;394.69310793523886;2;8;1948
1718322;2018;1;0;40;0;55;2;1;NA;NA;5;5;10;1.145;1.609;3009.7687709374372;2;1;1963
1718408;2017;12;0;55;0;61;3;1;NA;NA;3;5;5;0.296;0.586;1096.1619016590046;1;7;1956
1718576;2018;1;0;39;0;54;2;1;NA;NA;3;6;7;0.534;0.473;884.7859718169098;1;1;1964
1718739;2018;2;0;40;0;48;2;1;NA;NA;1;4;6;0.296;0.266;497.57519768139116;2;9;1969
1719114;2018;1;0;40;0;50;1;1;NA;NA;5;3;7;0.296;0.921;1722.8073573855688;1;4;1967
1719207;2017;12;0;30;0;39;2;2;12000;1;7;5;6;0.296;0.256;478.8693631820908;2;1;1978
1719372;2017;12;0;18;0;31;2;2;12000;1;6;3;7;0.445;0.744;1391.7140867479513;1;8;1986
1719584;2018;1;0;38;0;47;2;2;12000;1;6;3;3;0.534;0.414;774.4215482710373;1;6;1970
1719861;2018;1;0;40;0;36;2;1;NA;NA;11;7;10;0.296;0.226;422.7518596841895;2;3;1981
1720024;2017;12;0;60;0;44;4;2;12000;1;14;7;10;0.296;0.58;1084.9384009594244;1;12;1973
1720129;2017;12;0;20;0;59;2;1;NA;NA;5;5;6;0.296;0.218;407.7871920847491;2;1;1958
1720467;2017;12;0;10;0;65;2;1;12000;1;15;3;3;0.296;0.326;609.8102046771937;1;12;1952
